50.31, -34.77
50.32, -30.82
50.33, -26.85
50.33, -22.88
50.34, -18.93
50.36, -14.98
50.37, -11.01
50.38, -7.05
50.38, -3.1
50.33, 0.86
50.17, 4.82
49.75, 8.76
49.11, 12.65
48.22, 16.51
46.9, 20.26
45.37, 23.9
43.56, 27.41
41.36, 30.71
38.93, 33.84
36.23, 36.72
33.3, 39.38
30.13, 41.77
26.77, 43.86
23.25, 45.66
19.58, 47.14
15.77, 48.26
11.91, 49.09
7.99, 49.64
4.04, 49.93
0.07, 50.12
-3.87, 50.23
-7.83, 50.28
-11.8, 50.32
-15.76, 50.34
-19.7, 50.35
-23.67, 50.35
-27.64, 50.35
-31.59, 50.4
-35.54, 50.36
-39.51, 50.34
-43.47, 50.34
-47.42, 50.34
-51.38, 50.36
-55.35, 50.37
-59.31, 50.36
-63.25, 50.25
-67.21, 49.96
-71.14, 49.42
-75.0, 48.58
-78.8, 47.5
-82.49, 46.04
-86.04, 44.28
-89.44, 42.27
-92.61, 39.91
-95.64, 37.34
-98.37, 34.48
-100.85, 31.41
-103.09, 28.14
-104.95, 24.63
-106.59, 21.04
-107.87, 17.3
-108.79, 13.44
-109.43, 9.53
-109.83, 5.6
-110.06, 1.65
-110.19, -2.32
-110.27, -6.28
-110.32, -10.22
-110.34, -14.18
-110.35, -18.15
-110.38, -22.11
-110.39, -26.06
-110.39, -30.03
-110.4, -33.99
-110.41, -37.94
-110.42, -41.9
-110.43, -45.87
-110.43, -49.82
-110.45, -53.77
-110.45, -57.73
-110.35, -61.7
-110.13, -65.65
-109.67, -69.57
-108.92, -73.47
-107.93, -77.31
-106.64, -81.04
-104.95, -84.61
-103.07, -88.11
-100.79, -91.35
-98.33, -94.42
-95.58, -97.28
-92.54, -99.83
-89.37, -102.19
-85.98, -104.22
-82.39, -105.89
-78.69, -107.33
-74.89, -108.41
-71.0, -109.11
-67.07, -109.64
-63.12, -109.94
-59.18, -110.11
-55.21, -110.2
-51.25, -110.26
-47.29, -110.29
-43.34, -110.31
-39.37, -110.33
-35.41, -110.34
-31.46, -110.35
-27.5, -110.36
-23.53, -110.37
-19.58, -110.39
-15.63, -110.39
-11.67, -110.39
-7.7, -110.39
-3.74, -110.37
0.21, -110.32
4.17, -110.15
8.12, -109.79
12.01, -109.14
15.88, -108.3
19.66, -107.08
23.3, -105.54
26.82, -103.75
30.18, -101.65
33.34, -99.24
36.28, -96.61
38.97, -93.71
41.38, -90.56
43.57, -87.25
45.35, -83.73
46.91, -80.1
48.15, -76.33
49.0, -72.46
49.56, -68.55
49.91, -64.61
50.11, -60.65
50.15, -56.69
50.14, -52.74
50.17, -48.78
50.21, -44.81
50.27, -40.86
50.33, -36.91
50.35, -32.94
# New Path
55.08, -50.21
59.03, -50.35
63.0, -50.26
66.95, -49.99
70.87, -49.47
74.73, -48.64
78.56, -47.57
82.25, -46.14
85.81, -44.44
89.2, -42.4
92.4, -40.04
95.44, -37.52
98.19, -34.69
100.68, -31.59
102.97, -28.36
104.83, -24.89
106.49, -21.29
107.78, -17.53
108.75, -13.7
109.41, -9.81
109.81, -5.86
110.04, -1.9
110.18, 2.05
110.27, 6.0
110.31, 9.97
110.34, 13.93
110.36, 17.88
110.37, 21.83
110.36, 25.81
110.36, 29.77
110.35, 33.71
110.34, 37.67
110.34, 41.65
110.35, 45.6
110.35, 49.55
110.36, 53.52
110.36, 57.48
110.31, 61.43
110.13, 65.38
109.68, 69.33
109.02, 73.23
108.05, 77.05
106.7, 80.78
105.13, 84.43
103.24, 87.89
101.0, 91.15
98.57, 94.28
95.8, 97.12
92.85, 99.74
89.68, 102.11
86.26, 104.12
82.72, 105.89
79.04, 107.32
75.22, 108.37
71.34, 109.22
67.41, 109.65
63.48, 109.93
59.51, 110.11
55.55, 110.21
51.6, 110.26
47.65, 110.32
43.67, 110.34
39.71, 110.37
35.77, 110.38
31.81, 110.38
27.83, 110.38
23.88, 110.39
19.93, 110.39
15.96, 110.39
12.0, 110.38
8.05, 110.39
4.1, 110.37
0.12, 110.34
-3.83, 110.22
-7.77, 109.91
-11.69, 109.35
-15.55, 108.42
-19.33, 107.29
-23.01, 105.84
-26.52, 104.0
-29.91, 101.94
-33.07, 99.57
-36.03, 96.95
-38.74, 94.05
-41.17, 90.92
-43.38, 87.66
-45.24, 84.15
-46.78, 80.49
-48.06, 76.76
-48.97, 72.92
-49.51, 68.98
-49.89, 65.04
-50.1, 61.1
-50.22, 57.14
-50.2, 53.17
-50.19, 49.21
-50.23, 45.27
-50.28, 41.3
-50.33, 37.33
-50.36, 33.38
-50.38, 29.43
-50.38, 25.46
-50.37, 21.49
-50.38, 17.55
-50.37, 13.6
-50.36, 9.62
-50.35, 5.66
-50.34, 1.72
-50.28, -2.24
-50.07, -6.21
-49.61, -10.14
-48.82, -14.0
-47.8, -17.84
-46.43, -21.56
-44.8, -25.15
-42.81, -28.57
-40.5, -31.8
-38.04, -34.91
-35.21, -37.65
-32.21, -40.24
-28.97, -42.54
-25.54, -44.5
-21.99, -46.2
-18.26, -47.58
-14.42, -48.56
-10.55, -49.33
-6.62, -49.76
-2.65, -50.0
1.3, -50.16
5.25, -50.25
9.21, -50.31
13.18, -50.34
17.13, -50.36
21.08, -50.37
25.05, -50.38
29.02, -50.39
32.96, -50.48
36.92, -50.48
40.89, -50.45
44.85, -50.42
48.8, -50.39
52.76, -50.36
56.73, -50.34
60.68, -50.32
# New Path
50.05, -106.24
49.71, -102.3
49.73, -98.35
49.4, -94.39
49.22, -90.44
49.26, -86.49
49.51, -82.55
49.37, -78.58
49.5, -74.62
49.97, -70.71
50.46, -66.77
50.39, -62.8
50.37, -58.85
50.59, -54.92
50.5, -50.95
50.44, -46.99
50.47, -43.04
50.42, -39.09
50.31, -35.12
50.29, -31.17
50.5, -27.23
# New Path
-70.88, -109.83
-66.92, -109.66
-62.96, -109.96
-59.04, -110.44
-55.11, -110.12
-51.31, -108.99
-47.82, -107.11
-44.8, -104.58
-42.36, -101.47
-40.6, -97.92
-39.6, -94.09
-39.4, -90.16
-39.51, -87.47
# New Path
